,en,ber,gv,jap,kj,kwn,lun,mos,ng,nyk,ss
0,"Is there a red sandal here?| bleu: 100.0, sim: 1.0","Is there stars around here?| bleu: 19.43, sim: 0.3499999940395355","Open a new tab| bleu: 7.55, sim: -0.05000000074505806","""Is there any red cedars?| bleu: 15.62, sim: 0.5199999809265137","Is there any other place in which you live?| bleu: 9.29, sim: 0.25","Is there a better place?| bleu: 27.48, sim: 0.41999998688697815","Has there ever been fire?| bleu: 8.17, sim: 0.25999999046325684","Is this unleavened bread?| bleu: 8.52, sim: 0.23000000417232513","Is there a figurative place?| bleu: 27.48, sim: 0.41999998688697815","Is there any powerful miracle?| bleu: 15.21, sim: 0.28999999165534973","Is There a Battle for People in the world?| bleu: 5.52, sim: 0.15000000596046448"
74,"Are the cows eating the grass?| bleu: 100.0, sim: 1.0","Are there eating grass on the grass?| bleu: 23.36, sim: 0.7099999785423279","Clear browsing history?| bleu: 7.55, sim: -0.05000000074505806","""How can the bull eat grass, or be made green?| bleu: 4.07, sim: 0.6000000238418579","What are the plants happy when they live on a place where they live?| bleu: 3.13, sim: 0.1599999964237213","Are you with me so far?| bleu: 7.81, sim: -0.05000000074505806","Do the cattle eat the weeds?| bleu: 8.64, sim: 0.75","Does the seed produce good results?| bleu: 7.81, sim: 0.2199999988079071","Could food be a fire?| bleu: 6.87, sim: 0.17000000178813934","Can You partake of the emblems?| bleu: 7.81, sim: 0.03999999910593033","Is Alcohol Taking Control?| bleu: 7.16, sim: 0.05999999865889549"
75,"Is this a real picture?| bleu: 100.0, sim: 1.0","Is this true story?| bleu: 19.36, sim: 0.5400000214576721","Do you like to run this application?| bleu: 6.57, sim: 0.15000000596046448","This is an contentions, and what shall this be? for what shall she do?| bleu: 2.72, sim: 0.15000000596046448","Is that true?| bleu: 11.52, sim: 0.6499999761581421","Is that not reasonable?| bleu: 10.4, sim: 0.49000000953674316","Is that happening?| bleu: 11.52, sim: 0.6600000262260437","But is that really so?| bleu: 8.12, sim: 0.6000000238418579","Is that true?| bleu: 11.52, sim: 0.6499999761581421","Is that true?| bleu: 11.52, sim: 0.6499999761581421","Will this really happen?| bleu: 10.4, sim: 0.47999998927116394"
76,"Is it six or twelve birds?| bleu: 100.0, sim: 1.0","You're three months or three, aren't you?| bleu: 5.67, sim: 0.25","Jesus answered them, ""Aren't you he twelve, one of you? Aren't he answered them, the twelve, and one of you?| bleu: 1.65, sim: 0.3199999928474426","Shall there be twelve birds, or twelve birds,| bleu: 15.62, sim: 0.8899999856948853","Is it really wise for six or six people?| bleu: 12.55, sim: 0.44999998807907104","Do these things matter no matter how many of them are?| bleu: 3.39, sim: 0.17000000178813934","Are they six feet or 12?| bleu: 8.64, sim: 0.6299999952316284","Six or six birds?| bleu: 17.03, sim: 0.7699999809265137","Does it matter six or six?| bleu: 15.62, sim: 0.49000000953674316","Are two of them two or two of them?| bleu: 4.99, sim: 0.03999999910593033","12 years of age, What Are the birds of heaven?| bleu: 4.03, sim: 0.7400000095367432"
77,"How many windows do you see?| bleu: 100.0, sim: 1.0","How many times do you know?| bleu: 19.64, sim: 0.38999998569488525","?????| bleu: 7.16, sim: 0.20999999344348907","""Why do you see many windows,| bleu: 25.85, sim: 0.7599999904632568","Do you see many more water available to you?| bleu: 9.98, sim: 0.36000001430511475","How do you describe those signs that are close to you?| bleu: 8.05, sim: 0.38999998569488525","Do you see more clearly in your experience?| bleu: 10.55, sim: 0.550000011920929","What can you do?| bleu: 9.42, sim: 0.20000000298023224","Do you see many cards?| bleu: 16.34, sim: 0.4000000059604645","How do you react?| bleu: 17.03, sim: 0.23000000417232513","How do you feel about the many nations?| bleu: 11.99, sim: 0.25"
78,"What color is the tie?| bleu: 100.0, sim: 1.0","What color is that color?| bleu: 32.47, sim: 0.4399999976158142","What is your Facebook username?| bleu: 10.68, sim: 0.1599999964237213","Is there any thing to Tema, that you ask him?| bleu: 3.39, sim: 0.1899999976158142","What relationship promotes our relationship with others?| bleu: 6.57, sim: 0.23000000417232513","What can we learn from this?| bleu: 7.81, sim: 0.09000000357627869","What are some things that lead to appealing?| bleu: 5.67, sim: 0.23000000417232513","Why can it be said that Jehovah's way of doing his will is in harmony with his purpose?| bleu: 2.41, sim: 0.14000000059604645","What does it mean to be a person?| bleu: 5.67, sim: 0.25999999046325684","What view is found in Paul's São Paulo?| bleu: 6.27, sim: 0.12999999523162842","How did people describe the account?| bleu: 7.81, sim: 0.15000000596046448"
79,"Why are the men in suits so overweight?| bleu: 100.0, sim: 1.0","Why did you do so many things about you?| bleu: 5.52, sim: 0.1599999964237213","What is your Jabber password?| bleu: 4.92, sim: 0.10000000149011612","Why do men stand here by the sea? How can they wait for the people?| bleu: 3.23, sim: 0.23999999463558197","Why are these men among them?| bleu: 11.74, sim: 0.33000001311302185","Why were men involved in things that were not true?| bleu: 5.3, sim: 0.36000001430511475","Why do these men feel that way?| bleu: 6.41, sim: 0.4399999976158142","Why can men in such areas not claim to be hypocrites?| bleu: 8.05, sim: 0.3700000047683716","Why is it good for men to do so?| bleu: 5.93, sim: 0.4399999976158142","Why have humans been guided by the influence of evil?| bleu: 4.93, sim: 0.009999999776482582","Why should husbands do so?| bleu: 6.48, sim: 0.3100000023841858"
80,"How many fruits are on this plate?| bleu: 100.0, sim: 1.0","How many pandas are there in this room?| bleu: 11.99, sim: 0.3700000047683716","What is your Jabber password?| bleu: 5.82, sim: 0.05000000074505806","What will be the fruit of the mountain, which is on the top of the pillars?| bleu: 2.55, sim: 0.47999998927116394","What are many fruit?| bleu: 7.72, sim: 0.8399999737739563","How does the fruitage of the spirit bring happiness?| bleu: 4.99, sim: 0.47999998927116394","How do many fruitage differ from those examples?| bleu: 6.27, sim: 0.7099999785423279","What are some of these?| bleu: 6.92, sim: 0.09000000357627869","How are many kinds of fruit done?| bleu: 7.81, sim: 0.800000011920929","How do the fruitage of these fruitage produce?| bleu: 5.67, sim: 0.7099999785423279","How do many fruit work on its fruitage?| bleu: 6.74, sim: 0.7799999713897705"
81,"What colors decorate the cake?| bleu: 100.0, sim: 1.0","What was the love of that letter?| bleu: 7.27, sim: 0.30000001192092896","Use own fonts| bleu: 0.0, sim: 0.14000000059604645","Can you eat the leavened bread with your yeast? Or how will you hold the yeast of the yeast?| bleu: 2.16, sim: 0.27000001072883606","How do people feel when they go to a stable place?| bleu: 3.39, sim: 0.1899999976158142","What opportunity did the apostles make?| bleu: 8.64, sim: 0.1599999964237213","What Are some of the works?| bleu: 8.64, sim: 0.28999999165534973","What is that?| bleu: 11.52, sim: 0.12999999523162842","What makes people feel worthless?| bleu: 9.65, sim: 0.009999999776482582","What Is True Worship About God's Kingdom?| bleu: 6.57, sim: 0.23999999463558197","What are these types of horses?| bleu: 7.81, sim: 0.20999999344348907"
82,"How many pillows are seen?| bleu: 100.0, sim: 1.0","How died?| bleu: 0.0, sim: 0.029999999329447746","Have any of the rulers or of the rulers believed on him?| bleu: 3.09, sim: 0.3100000023841858","Or what did you see, when you saw it?| bleu: 3.75, sim: 0.2800000011920929","How did this comforted many?| bleu: 10.68, sim: 0.28999999165534973","How does many publications seem to be found?| bleu: 6.27, sim: 0.38999998569488525","How have many songs been seen?| bleu: 15.62, sim: 0.41999998688697815","How have many shown honesty?| bleu: 10.68, sim: 0.33000001311302185","How do many hairs seem to be seen?| bleu: 11.34, sim: 0.5099999904632568","How do many diseases affect most people?| bleu: 7.27, sim: 0.25999999046325684","How is different from various languages evident?| bleu: 6.57, sim: 0.30000001192092896"
83,"What type of animal is in the scene?| bleu: 100.0, sim: 1.0","What is the animal in the animal?| bleu: 12.83, sim: 0.8600000143051147","Run Software?| bleu: 0.0, sim: 0.10000000149011612","Isn't the animals of the field, the animals of the field after its kind?| bleu: 3.22, sim: 0.4699999988079071","What happens to animals?| bleu: 5.71, sim: 0.7200000286102295","What is the situation?| bleu: 6.79, sim: 0.44999998807907104","What happened to the wild beast?| bleu: 6.5, sim: 0.5199999809265137","What kinds of animals are in this situation?| bleu: 6.74, sim: 0.8399999737739563","What happens when an animal is given?| bleu: 11.59, sim: 0.6299999952316284","And what animal animal animal life?| bleu: 5.87, sim: 0.7400000095367432","Which animal?| bleu: 0.0, sim: 0.8700000047683716"
84,"How many boats are in the water?| bleu: 100.0, sim: 1.0","How many water are there in the garden?| bleu: 15.51, sim: 0.36000001430511475","Display a swimming fish?| bleu: 5.86, sim: 0.4300000071525574","""Where is the Philistines here, and the Philistines are gathered together in the waters?| bleu: 5.44, sim: 0.3400000035762787","How does the boat flow the water?| bleu: 22.09, sim: 0.7099999785423279","How do many people use water?| bleu: 13.54, sim: 0.5400000214576721","How were many people affected by water baptism?| bleu: 6.74, sim: 0.4000000059604645","What are included in those who hunger for water?| bleu: 9.98, sim: 0.3700000047683716","How will many water be dangerous?| bleu: 8.05, sim: 0.3799999952316284","How have thousands of thousands of watered down water?| bleu: 9.29, sim: 0.18000000715255737","How do many people ride to water?| bleu: 13.13, sim: 0.5699999928474426"
85,"What is the woman taking a picture of?| bleu: 100.0, sim: 1.0","What is that picture of that picture?| bleu: 14.58, sim: 0.7200000286102295","What is this review?| bleu: 10.62, sim: 0.27000001072883606","And how then shall the woman be? for she shall be called a maid.| bleu: 5.82, sim: 0.10000000149011612","What does the woman imagine?| bleu: 11.71, sim: 0.41999998688697815","What does the wife represent?| bleu: 6.48, sim: 0.3499999940395355","What happened to a woman?| bleu: 6.96, sim: 0.3100000023841858","What does the woman represent?| bleu: 11.71, sim: 0.5099999904632568","What does the woman represent?| bleu: 11.71, sim: 0.5099999904632568","What did the woman think?| bleu: 11.71, sim: 0.4699999988079071","What did a wife say?| bleu: 6.48, sim: 0.25999999046325684"
86,"Are these professional baseball players?| bleu: 100.0, sim: 1.0","Does this type of type type type type type type type of goods have?| bleu: 2.63, sim: 0.20999999344348907","Are you sure you want to run the applet?| bleu: 4.99, sim: 0.07000000029802322","Are they wicked? Or are they wicked?| bleu: 5.67, sim: 0.11999999731779099","Do such religious leaders have prejudice?| bleu: 6.57, sim: 0.11999999731779099","Could it be hard to tell people who are with them?| bleu: 3.39, sim: 0.23000000417232513","Is this type of recreation a matter?| bleu: 5.52, sim: 0.15000000596046448","Is that true of those who work hard today?| bleu: 4.2, sim: 0.17000000178813934","Are such team ever important?| bleu: 9.65, sim: 0.28999999165534973","Did those spices help people?| bleu: 8.12, sim: 0.23999999463558197","The total number of people known is known?| bleu: 4.77, sim: 0.33000001311302185"
87,"Is this food sweet?| bleu: 100.0, sim: 1.0","Is this good food good to eat?| bleu: 13.13, sim: 0.7699999809265137","?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????| bleu: 0.07, sim: 0.2199999988079071","What does it profit a man for good? Or what is it profit?| bleu: 2.63, sim: 0.3499999940395355","Is food well worth it?| bleu: 10.68, sim: 0.6700000166893005","Would it be enough to eat it?| bleu: 5.52, sim: 0.5799999833106995","Is that true?| bleu: 14.79, sim: 0.36000001430511475","Is it a source of happiness?| bleu: 7.81, sim: 0.5699999928474426","Are these food dangerous?| bleu: 12.7, sim: 0.5299999713897705","Is there anything more important?| bleu: 9.65, sim: 0.20999999344348907","Are such food more valuable?| bleu: 9.65, sim: 0.6000000238418579"
88,"Is this a modest young woman?| bleu: 100.0, sim: 1.0","Is that a woman?| bleu: 17.03, sim: 0.550000011920929","What is this?| bleu: 8.97, sim: 0.20999999344348907","""Why does this she do in the sight of a youth, since she is a young woman?| bleu: 8.1, sim: 0.4399999976158142","Was that young woman humble?| bleu: 15.21, sim: 0.7799999713897705","Is that modest, modest, humble, or modest?| bleu: 4.93, sim: 0.7799999713897705","Is this humble young girl humble?| bleu: 15.62, sim: 0.7699999809265137","Is this humble woman humble?| bleu: 16.34, sim: 0.7400000095367432","Is this young woman?| bleu: 33.52, sim: 0.5899999737739563","Would she be reasonable?| bleu: 7.16, sim: 0.6600000262260437","Was this young woman humble?| bleu: 16.34, sim: 0.7699999809265137"
89,"Are these flowers artificial?| bleu: 100.0, sim: 1.0","Are these sheep yours?| bleu: 23.64, sim: 0.23000000417232513","Clear the personal data you wish to clear?| bleu: 4.77, sim: 0.20999999344348907","Will they, who are left in the fell of the flower?| bleu: 3.09, sim: 0.49000000953674316","Can these flowers produce?| bleu: 23.64, sim: 0.8700000047683716","Would the clothes be like a meal?| bleu: 5.52, sim: 0.2199999988079071","Are the wild beast organized?| bleu: 9.65, sim: 0.14000000059604645","Are these desirable things?| bleu: 23.64, sim: 0.44999998807907104","Are these beautiful places?| bleu: 23.64, sim: 0.4399999976158142","How has the flowers increased?| bleu: 9.65, sim: 0.6800000071525574","Are these gifts included?| bleu: 23.64, sim: 0.41999998688697815"
90,"What is the book on?| bleu: 100.0, sim: 1.0","What book did you read in that book?| bleu: 6.27, sim: 0.7599999904632568","Software Centering software?| bleu: 9.69, sim: -0.009999999776482582","What does the Scripture mean, that the Scripture might be fulfilled?| bleu: 4.07, sim: 0.17000000178813934","What can we learn from the Bible?| bleu: 7.27, sim: 0.47999998927116394","What is the book?| bleu: 57.89, sim: 0.9200000166893005","What does the book say on this subject?| bleu: 11.99, sim: 0.8799999952316284","What is the basis for this work?| bleu: 22.09, sim: 0.3400000035762787","What book is there in the book of the book What Does the Bible Really Teach?| bleu: 5.75, sim: 0.5799999833106995","What Does the Bible Really Teach?| bleu: 8.64, sim: 0.4699999988079071","What is it?| bleu: 21.44, sim: 0.41999998688697815"
91,"Is there a phone on the table?| bleu: 100.0, sim: 1.0","Is there a pen on the table?| bleu: 50.0, sim: 0.6299999952316284","What is your Facebook password?| bleu: 5.82, sim: 0.44999998807907104","""Is the lampstand over the table, and the lampstand over it?| bleu: 6.75, sim: 0.550000011920929","Have anyone come to his house?| bleu: 5.69, sim: 0.36000001430511475","Would you like to call me phone?| bleu: 6.57, sim: 0.6000000238418579","Are you offering a meal with a meal?| bleu: 5.67, sim: 0.28999999165534973","Does anyone call it a book?| bleu: 6.77, sim: 0.33000001311302185","Is there any human?| bleu: 12.98, sim: 0.5","Do you use a phone phone, a cell phone, or a cell phone?| bleu: 5.41, sim: 0.75","Is there anything we can eat?| bleu: 12.6, sim: 0.36000001430511475"
92,"What are the kids in?| bleu: 100.0, sim: 1.0","What are children in the children?| bleu: 16.52, sim: 0.8500000238418579","Update Bookmark?| bleu: 0.0, sim: 0.2199999988079071","What profit has a young goat, or a son of goats?| bleu: 3.67, sim: 0.18000000715255737","How do children feel when they live with their parents?| bleu: 3.75, sim: 0.5","What do children do?| bleu: 10.4, sim: 0.8100000023841858","What do children do?| bleu: 10.4, sim: 0.8100000023841858","What Is Children?| bleu: 11.52, sim: 0.7799999713897705","What was the situation of children?| bleu: 8.64, sim: 0.7699999809265137","What are children doing?| bleu: 19.36, sim: 0.8500000238418579","What challenges do children face?| bleu: 9.65, sim: 0.7599999904632568"
93,"Is the person alone?| bleu: 100.0, sim: 1.0","Was he that man?| bleu: 10.68, sim: 0.3400000035762787","What is your Google ID?| bleu: 8.12, sim: 0.20000000298023224","For one is one flesh, and one Lord.| bleu: 2.1, sim: 0.14000000059604645","Was the only person alone?| bleu: 32.47, sim: 0.8899999856948853","Is this man the only person?| bleu: 9.29, sim: 0.5699999928474426","Is he just a human?| bleu: 9.65, sim: 0.4399999976158142","Is there only one?| bleu: 12.7, sim: 0.6100000143051147","Is only one alone?| bleu: 23.64, sim: 0.6899999976158142","Does he simply be the only person?| bleu: 7.27, sim: 0.5600000023841858","Who is the man?| bleu: 12.7, sim: 0.3700000047683716"
94,"Is the train 1 color?| bleu: 100.0, sim: 1.0","What's the name of the fax?| bleu: 7.81, sim: 0.3100000023841858","Wacom action-type| bleu: 0.0, sim: 0.019999999552965164","Can a young man pluck away from his son?| bleu: 4.2, sim: 0.10000000149011612","How does training train others?| bleu: 9.65, sim: 0.10999999940395355","Can you train yourself to January 1, 2010, 3 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 12 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 12 / 1, 8 / 1, 12 / 1, 12 / 1, 8 / 1, 8| bleu: 0.08, sim: 0.18000000715255737","1 / 1| bleu: 0.0, sim: 0.36000001430511475","Is the training they receive best?| bleu: 14.54, sim: 0.17000000178813934","Where is the color of the heavens?| bleu: 7.27, sim: 0.3799999952316284","Would training be effective?| bleu: 8.75, sim: 0.17000000178813934","Are you making good use of the Scriptures?| bleu: 5.67, sim: 0.11999999731779099"
95,"Are the flowers open?| bleu: 100.0, sim: 1.0","Is the store closed?| bleu: 12.7, sim: 0.009999999776482582","Do you really want to remove the group '%s'?| bleu: 4.03, sim: 0.05000000074505806","Can the flower thereof open? or that the flower thereof may be opened?| bleu: 5.82, sim: 0.8199999928474426","Does such flowers have to pay taxes?| bleu: 6.57, sim: 0.4300000071525574","Is it enough to provide spiritual food?| bleu: 5.52, sim: 0.2199999988079071","Does It Matter in Your Heart?| bleu: 6.57, sim: 0.20999999344348907","Do you think of the tree of the knowledge of good and bad?| bleu: 3.38, sim: 0.2800000011920929","Is it best?| bleu: 12.44, sim: 0.28999999165534973","Can the flowers open the way?| bleu: 26.27, sim: 0.8799999952316284","Is this scripture opening up?| bleu: 8.12, sim: 0.3400000035762787"
96,"What color is the sweater that the person is wearing?| bleu: 100.0, sim: 1.0","What color color is that red color?| bleu: 11.35, sim: 0.28999999165534973","What is your Facebook username?| bleu: 4.64, sim: 0.25999999046325684","For what does it profit a man, that he may be moved?| bleu: 3.38, sim: 0.07000000029802322","What might a person wear?| bleu: 4.64, sim: 0.5799999833106995","What makes someone like?| bleu: 3.83, sim: 0.33000001311302185","What does it mean to put on a person?| bleu: 5.0, sim: 0.3799999952316284","What is that?| bleu: 3.93, sim: 0.25","What is a modest person?| bleu: 4.99, sim: 0.1599999964237213","What sort of bread represents someone who is neatly dressed?| bleu: 4.93, sim: 0.3199999928474426","What is the best response to that person?| bleu: 10.05, sim: 0.27000001072883606"
97,"What color jacket is the boy wearing?| bleu: 100.0, sim: 1.0","What breed is the dog?| bleu: 13.83, sim: 0.3499999940395355","What is your Facebook username?| bleu: 7.65, sim: 0.23000000417232513","Can a child when he is a child, whether it is a child or a child?| bleu: 2.55, sim: 0.3499999940395355","What does a child wear?| bleu: 6.92, sim: 0.4699999988079071","What book does a child wear?| bleu: 6.77, sim: 0.3199999928474426","What responsibility does a young woman have?| bleu: 6.57, sim: 0.12999999523162842","How can we imitate Jesus?| bleu: 5.82, sim: 0.23000000417232513","What clothes wear?| bleu: 6.99, sim: 0.5199999809265137","Why is she dying?| bleu: 6.97, sim: -0.03999999910593033","What do the boy wear?| bleu: 13.83, sim: 0.7099999785423279"
98,"What color is the bowl?| bleu: 100.0, sim: 1.0","What color did the nails color?| bleu: 15.62, sim: 0.44999998807907104","What is your Jabber ID?| bleu: 10.68, sim: 0.3499999940395355","""What do you say about them, 'What are you two?'| bleu: 3.38, sim: 0.3100000023841858","What do those words mean?| bleu: 9.65, sim: 0.4000000059604645","What was it?| bleu: 11.52, sim: 0.41999998688697815","What is the air coming up?| bleu: 15.62, sim: 0.20000000298023224","What is represented by the cup of the cup?| bleu: 5.93, sim: 0.5","What might a person's colorful color have?| bleu: 7.27, sim: 0.5600000023841858","What is the spirit of the world?| bleu: 13.13, sim: 0.3400000035762787","What is their methods?| bleu: 11.51, sim: 0.3499999940395355"
99,"Is the bear standing on ice?| bleu: 100.0, sim: 1.0","Are the stars bright?| bleu: 8.52, sim: 0.09000000357627869","What is your Group ID?| bleu: 6.87, sim: 0.03999999910593033","Isn't the ice left in the ice, because it doesn't endure?| bleu: 4.07, sim: 0.5199999809265137","How often is the hope standing in it?| bleu: 6.27, sim: 0.07000000029802322","Do we have a clean conscience?| bleu: 6.57, sim: 0.15000000596046448","Do we have a position to grow?| bleu: 5.52, sim: 0.03999999910593033","Where, then, can we find practical advice that will help us to stand firm?| bleu: 2.29, sim: 0.15000000596046448","Is it right?| bleu: 8.97, sim: 0.23000000417232513","Did this water go on walking?| bleu: 7.81, sim: 0.09000000357627869","Is it possible for the blind to lie?| bleu: 6.27, sim: -0.009999999776482582"
